epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.87,2.78358,4.36059,1.22422,0.50739,0.43097,0.38347,0.15094,2.10992,5.77758,0.9292,0.00022,0.00022,0.00022
2,380.195,1.8444,1.47496,0.91162,0.74089,0.63906,0.68446,0.32952,1.6103,2.20332,0.85374,0.000450892,0.000450892,0.000450892
3,575.473,1.64068,1.1073,0.86318,0.74977,0.67495,0.67222,0.32292,1.60926,1.3899,0.85936,0.00067228,0.00067228,0.00067228
4,782.762,1.58406,1.0189,0.86584,0.80775,0.73614,0.77073,0.39507,1.49191,1.16817,0.8427,0.000884164,0.000884164,0.000884164
5,995.39,1.55406,1.0129,0.86047,0.70365,0.73394,0.75012,0.37774,1.56794,1.09813,0.84325,0.00108654,0.00108654,0.00108654
6,1210.77,1.52664,0.91846,0.85828,0.7787,0.7428,0.78129,0.38741,1.49908,1.00194,0.83325,0.00127942,0.00127942,0.00127942
7,1436.02,1.46039,0.92319,0.84136,0.81416,0.76506,0.8242,0.44849,1.37173,0.90657,0.82592,0.00146279,0.00146279,0.00146279
8,1659.96,1.50239,0.89298,0.84025,0.81982,0.78012,0.83675,0.4702,1.35067,0.97929,0.82363,0.00163666,0.00163666,0.00163666
9,1881.97,1.48285,0.91231,0.84603,0.8498,0.76686,0.83141,0.45731,1.36245,0.87082,0.82727,0.0016832,0.0016832,0.0016832
10,2104.14,1.43329,0.85143,0.85198,0.84404,0.77108,0.84049,0.49232,1.30776,0.86863,0.82367,0.0016436,0.0016436,0.0016436
11,2329.07,1.43697,0.82681,0.84227,0.80937,0.7332,0.80876,0.40558,1.46258,0.86737,0.82819,0.001604,0.001604,0.001604
12,2554.09,1.39901,0.80895,0.83645,0.81928,0.75577,0.82807,0.43973,1.40228,0.84711,0.82709,0.0015644,0.0015644,0.0015644
13,2776.51,1.33717,0.77298,0.83314,0.82353,0.78716,0.84926,0.49086,1.31166,0.81015,0.82172,0.0015248,0.0015248,0.0015248
14,2996.51,1.30818,0.78997,0.83521,0.85429,0.78291,0.85309,0.49645,1.25026,0.79622,0.81535,0.0014852,0.0014852,0.0014852
15,3214.81,1.30322,0.77701,0.83291,0.84716,0.78891,0.85966,0.52442,1.1967,0.74249,0.81305,0.0014456,0.0014456,0.0014456
16,3434.89,1.31409,0.7783,0.82875,0.83032,0.79345,0.85657,0.47361,1.2929,0.79475,0.81787,0.001406,0.001406,0.001406
17,3654.8,1.24535,0.74463,0.82815,0.85908,0.79265,0.86525,0.52451,1.22565,0.72501,0.81413,0.0013664,0.0013664,0.0013664
18,3862.87,1.24825,0.71458,0.82519,0.86101,0.79299,0.8747,0.54163,1.17901,0.67336,0.81247,0.0013268,0.0013268,0.0013268
19,4062.89,1.29838,0.74319,0.82461,0.87274,0.81752,0.89147,0.56487,1.12875,0.66754,0.80891,0.0012872,0.0012872,0.0012872
20,4248.39,1.28511,0.73206,0.82269,0.8588,0.80152,0.87632,0.54004,1.21037,0.70561,0.81385,0.0012476,0.0012476,0.0012476
21,4430.48,1.24453,0.72108,0.83386,0.85606,0.79869,0.86953,0.53979,1.16548,0.68866,0.81063,0.001208,0.001208,0.001208
22,4628.97,1.20458,0.67445,0.82448,0.86101,0.80823,0.88056,0.56555,1.10196,0.64892,0.80889,0.0011684,0.0011684,0.0011684
23,4834.78,1.23117,0.69214,0.82097,0.85759,0.78752,0.86795,0.5136,1.25296,0.75046,0.82045,0.0011288,0.0011288,0.0011288
24,5046.62,1.20578,0.65972,0.82277,0.86819,0.82002,0.88987,0.5534,1.1736,0.64056,0.81151,0.0010892,0.0010892,0.0010892
25,5260.94,1.21808,0.66933,0.81831,0.87371,0.82907,0.89607,0.58026,1.0747,0.63474,0.80594,0.0010496,0.0010496,0.0010496
26,5461.95,1.18623,0.64064,0.81412,0.88013,0.81645,0.89634,0.56128,1.15212,0.67375,0.81053,0.00101,0.00101,0.00101
27,5640.39,1.16263,0.63478,0.81578,0.88091,0.82882,0.89972,0.59567,1.05173,0.58401,0.80321,0.0009704,0.0009704,0.0009704
28,5820.06,1.14182,0.63341,0.81495,0.88105,0.82882,0.90037,0.58874,1.06174,0.59242,0.80229,0.0009308,0.0009308,0.0009308
29,6005.63,1.13118,0.62478,0.81611,0.88535,0.84511,0.90576,0.60234,1.04483,0.57796,0.80182,0.0008912,0.0008912,0.0008912
30,6187.51,1.13794,0.64939,0.81822,0.88448,0.83735,0.90868,0.58834,1.07265,0.57691,0.80358,0.0008516,0.0008516,0.0008516
31,6361.46,1.15731,0.63461,0.81447,0.88823,0.82581,0.90798,0.57842,1.08684,0.60455,0.80247,0.000812,0.000812,0.000812
32,6534.09,1.13895,0.61408,0.81573,0.88284,0.83409,0.90387,0.58861,1.07506,0.57762,0.8039,0.0007724,0.0007724,0.0007724
33,6707.58,1.12062,0.59753,0.81765,0.87514,0.83741,0.90089,0.59986,1.03212,0.57802,0.80108,0.0007328,0.0007328,0.0007328
34,6879.5,1.15499,0.62053,0.81426,0.88648,0.82957,0.9064,0.58468,1.10663,0.59269,0.80366,0.0006932,0.0006932,0.0006932
35,7053.06,1.15441,0.61748,0.81541,0.90389,0.83802,0.9121,0.62889,0.98618,0.54691,0.79613,0.0006536,0.0006536,0.0006536
36,7226.12,1.14735,0.62464,0.8154,0.89696,0.83735,0.91482,0.6147,1.02752,0.56531,0.79938,0.000614,0.000614,0.000614
37,7398.62,1.12589,0.59576,0.81197,0.89507,0.84864,0.91904,0.62965,0.96946,0.54954,0.79646,0.0005744,0.0005744,0.0005744
38,7570.87,1.08612,0.58173,0.80997,0.89548,0.84298,0.91876,0.61887,1.0172,0.56846,0.79905,0.0005348,0.0005348,0.0005348
39,7743.39,1.10576,0.59036,0.81556,0.88628,0.83409,0.91167,0.61072,1.00238,0.58351,0.80055,0.0004952,0.0004952,0.0004952
40,7915.44,1.08182,0.57588,0.8157,0.89526,0.84106,0.91548,0.60935,1.00229,0.5408,0.79769,0.0004556,0.0004556,0.0004556
41,8085.95,1.04677,0.63302,0.80795,0.90402,0.82748,0.91368,0.63373,0.9736,0.62788,0.79543,0.000416,0.000416,0.000416
42,8257.2,1.0898,0.64047,0.80651,0.90046,0.84488,0.91631,0.63306,0.97802,0.54116,0.79505,0.0003764,0.0003764,0.0003764
