epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0452,4.22061,60.7675,2.10123,0.00258,0.22222,0.00196,0.00069,3.18277,14.9426,1.47538,2e-05,2e-05,2e-05
2,31.7175,3.9495,40.9954,2.00532,0.00083,0.22222,0.00091,0.00049,3.2028,17.9263,1.49063,5.8812e-05,5.8812e-05,5.8812e-05
3,46.7846,3.6741,11.3473,2.09248,0.00042,0.11111,0.0003,0.00015,3.12745,26.0131,1.48644,9.604e-05,9.604e-05,9.604e-05
4,61.8622,3.76952,19.7998,1.91489,0.05429,0.11111,0.01227,0.00485,3.18074,22.8892,1.64258,0.000131684,0.000131684,0.000131684
5,76.8425,3.25625,13.8181,1.6731,0.14983,0.22222,0.06664,0.0185,3.20403,31.6507,1.76736,0.000165744,0.000165744,0.000165744
6,91.7592,3.02675,7.09368,1.60458,0.03858,0.11111,0.01506,0.00684,3.08665,32.8569,1.75426,0.00019822,0.00019822,0.00019822
7,107.719,3.42303,32.1863,1.67194,0.31907,0.22222,0.17164,0.02472,2.81011,6.91339,1.59512,0.000229112,0.000229112,0.000229112
8,124.359,2.60375,7.05165,1.3126,0.48445,0.31605,0.30372,0.04551,2.61952,3.30587,1.51992,0.00025842,0.00025842,0.00025842
9,139.868,2.88537,5.37444,1.39734,0.55772,0.42312,0.42239,0.06843,2.71107,2.74922,1.52397,0.000286144,0.000286144,0.000286144
10,155.644,2.7091,3.7644,1.35487,0.57974,0.33333,0.34276,0.05902,2.72711,2.62128,1.50952,0.000312284,0.000312284,0.000312284
11,171.365,2.57469,6.5575,1.32541,0.29672,0.11111,0.08523,0.01595,2.70353,2.96467,1.45494,0.00033684,0.00033684,0.00033684
12,186.619,2.68462,3.43842,1.28478,0.00936,0.44444,0.01221,0.00342,2.79212,4.77191,1.4685,0.000359812,0.000359812,0.000359812
13,201.996,2.79546,4.13537,1.45622,0.15149,0.11111,0.04998,0.01487,2.84059,3.59583,1.46305,0.0003812,0.0003812,0.0003812
14,217.692,2.19874,2.65147,1.28041,0.18857,0.33333,0.10166,0.02455,2.82048,2.86789,1.48011,0.000401004,0.000401004,0.000401004
15,232.963,2.49934,3.82229,1.21054,0.11565,0.11111,0.04886,0.01794,2.75549,3.58965,1.47895,0.000419224,0.000419224,0.000419224
16,248.869,2.33681,2.64346,1.22865,0.09266,0.33333,0.07487,0.02048,2.71163,3.06514,1.4689,0.00043586,0.00043586,0.00043586
17,264.618,2.5012,2.76263,1.23432,0.32602,0.44444,0.35526,0.08344,2.54396,2.71982,1.43682,0.000450912,0.000450912,0.000450912
18,280.172,2.48071,2.32026,1.20888,0.29781,0.44444,0.35975,0.07268,2.58491,2.78769,1.46965,0.00046438,0.00046438,0.00046438
19,295.487,2.29766,2.40604,1.18118,0.1923,0.33333,0.15443,0.03839,2.82274,3.30816,1.5758,0.000476264,0.000476264,0.000476264
20,311.156,2.09207,2.09756,1.18708,0.12362,0.44444,0.07461,0.01533,2.99341,3.91816,1.62232,0.000486564,0.000486564,0.000486564
21,327.079,2.48547,2.17091,1.18052,0.05233,0.33333,0.03416,0.01004,3.056,4.59245,1.7006,0.00049528,0.00049528,0.00049528
22,342.845,2.1383,1.69296,1.10337,0.11537,0.22222,0.06622,0.01395,2.96537,8.70339,1.70139,0.000502412,0.000502412,0.000502412
23,359.266,1.91525,2.00446,1.26643,0.12767,0.33333,0.05127,0.01503,2.81358,9.09481,1.67466,0.00050796,0.00050796,0.00050796
24,375.376,1.9256,1.87529,1.06442,0.10498,0.33333,0.06488,0.02572,2.96588,6.29243,1.77037,0.000511924,0.000511924,0.000511924
25,391.08,2.14868,2.23982,1.04166,0.06941,0.26598,0.03642,0.00975,3.20169,6.47984,1.84191,0.000514304,0.000514304,0.000514304
26,406.885,2.03835,1.84177,1.1819,0.09872,0.11111,0.024,0.00316,3.36342,5.78491,1.89296,0.0005151,0.0005151,0.0005151
27,423.215,2.33566,2.21388,1.16869,0.02299,0.44444,0.0138,0.00371,3.28604,5.3272,1.81916,0.000514312,0.000514312,0.000514312
28,438.852,2.18681,1.91666,1.2416,0.02299,0.44444,0.0138,0.00371,3.28604,5.3272,1.81916,0.00051194,0.00051194,0.00051194
29,455.002,1.9143,1.40492,1.14687,0.17854,0.11111,0.02991,0.00942,2.96209,5.06174,1.73082,0.000507984,0.000507984,0.000507984
30,471.097,2.14328,1.6612,1.17965,0.10427,0.11111,0.02172,0.00978,2.74636,5.46024,1.6648,0.000502444,0.000502444,0.000502444
31,487.304,2.00608,1.61657,1.03912,0.10427,0.11111,0.02172,0.00978,2.74636,5.46024,1.6648,0.00049532,0.00049532,0.00049532
32,503.417,2.13697,1.52706,1.15478,0.51933,0.22222,0.21747,0.04855,2.78003,3.77998,1.6737,0.000486612,0.000486612,0.000486612
33,519.263,1.94505,1.47987,0.97017,0.02144,0.11111,0.01368,0.00528,2.94662,3.23946,1.71687,0.00047632,0.00047632,0.00047632
34,534.918,1.81288,1.3444,1.0145,0.02144,0.11111,0.01368,0.00528,2.94662,3.23946,1.71687,0.000464444,0.000464444,0.000464444
35,550.806,1.94829,1.4142,1.05679,0.08306,0.11111,0.04003,0.00785,3.02571,3.14265,1.76174,0.000450984,0.000450984,0.000450984
36,566.633,1.74217,1.32255,1.06499,0.16823,0.33333,0.13872,0.01659,3.06722,2.72605,1.76721,0.00043594,0.00043594,0.00043594
37,582.9,1.81336,1.59108,0.93609,0.16823,0.33333,0.13872,0.01659,3.06722,2.72605,1.76721,0.000419312,0.000419312,0.000419312
38,599.206,1.77932,1.62935,1.09075,0.47829,0.22222,0.23968,0.02785,2.97574,2.38105,1.72596,0.0004011,0.0004011,0.0004011
39,615.873,2.49922,2.07191,1.37105,0.9533,0.22222,0.24454,0.03794,2.89066,2.54017,1.68972,0.000381304,0.000381304,0.000381304
40,631.797,1.61526,1.11712,1.09924,0.9533,0.22222,0.24454,0.03794,2.89066,2.54017,1.68972,0.000359924,0.000359924,0.000359924
41,648.074,2.09137,1.19888,1.14535,0.95874,0.22222,0.2298,0.05307,2.73913,2.67601,1.61928,0.00033696,0.00033696,0.00033696
42,664.055,1.80725,1.36547,1.11018,0.95636,0.22222,0.23486,0.07074,2.60577,2.95317,1.54068,0.000312412,0.000312412,0.000312412
43,679.734,1.6231,1.06642,1.0417,0.95636,0.22222,0.23486,0.07074,2.60577,2.95317,1.54068,0.00028628,0.00028628,0.00028628
44,695.427,1.68729,1.06048,1.03402,0.95507,0.22222,0.27136,0.07488,2.56969,3.01191,1.51467,0.000258564,0.000258564,0.000258564
45,712.103,1.90571,1.78539,1.20739,0.95507,0.22222,0.27136,0.07488,2.56969,3.01191,1.51467,0.000229264,0.000229264,0.000229264
46,728.325,1.78189,1.09071,1.01769,0.95688,0.22222,0.28581,0.09098,2.56617,2.95507,1.49899,0.00019838,0.00019838,0.00019838
47,744.688,1.68736,1.18245,1.02007,0.95688,0.22222,0.28581,0.09098,2.56617,2.95507,1.49899,0.000165912,0.000165912,0.000165912
48,760.795,1.49457,1.18715,1.092,0.55415,0.33333,0.30136,0.09538,2.6421,2.83254,1.55061,0.00013186,0.00013186,0.00013186
49,776.31,0.75162,3.44238,0.52258,0.55415,0.33333,0.30136,0.09538,2.6421,2.83254,1.55061,9.6224e-05,9.6224e-05,9.6224e-05
50,792.446,1.60813,1.10913,0.95281,0.3762,0.27224,0.22947,0.09228,2.70025,2.67298,1.60371,5.9004e-05,5.9004e-05,5.9004e-05
